coupling_function,phase_difference_rad,coupling_function_value
KURAMOTO,-1.9024088846738192,-0.9455185755993168
KURAMOTO,-1.8936822384138474,-0.9483236552061994
KURAMOTO,-1.8849555921538759,-0.9510565162951536
KURAMOTO,-1.876228945893904,-0.9537169507482269
KURAMOTO,-1.8675022996339325,-0.9563047559630355
KURAMOTO,-1.858775653373961,-0.958819734868193
KURAMOTO,-1.8500490071139892,-0.9612616959383189
KURAMOTO,-1.8413223608540177,-0.963630453208623
KURAMOTO,-1.832595714594046,-0.9659258262890683
KURAMOTO,-1.8238690683340744,-0.9681476403781077
KURAMOTO,-1.8151424220741026,-0.9702957262759965
KURAMOTO,-1.806415775814131,-0.9723699203976767
KURAMOTO,-1.7976891295541593,-0.9743700647852352
KURAMOTO,-1.7889624832941877,-0.9762960071199334
KURAMOTO,-1.7802358370342162,-0.9781476007338057
KURAMOTO,-1.7715091907742444,-0.9799247046208296
KURAMOTO,-1.7627825445142729,-0.981627183447664
KURAMOTO,-1.754055898254301,-0.9832549075639546
KURAMOTO,-1.7453292519943295,-0.984807753012208
KURAMOTO,-1.7366026057343578,-0.9862856015372314
KURAMOTO,-1.7278759594743862,-0.9876883405951378
KURAMOTO,-1.7191493132144144,-0.9890158633619168
KURAMOTO,-1.710422666954443,-0.9902680687415704
KURAMOTO,-1.7016960206944713,-0.9914448613738104
KURAMOTO,-1.6929693744344996,-0.9925461516413221
KURAMOTO,-1.684242728174528,-0.9935718556765875
KURAMOTO,-1.6755160819145563,-0.9945218953682734
KURAMOTO,-1.6667894356545847,-0.9953961983671789
KURAMOTO,-1.658062789394613,-0.9961946980917455
KURAMOTO,-1.6493361431346414,-0.996917333733128
KURAMOTO,-1.6406094968746696,-0.9975640502598243
KURAMOTO,-1.631882850614698,-0.998134798421867
KURAMOTO,-1.6231562043547265,-0.9986295347545738
KURAMOTO,-1.6144295580947547,-0.9990482215818578
KURAMOTO,-1.6057029118347832,-0.9993908270190958
KURAMOTO,-1.5969762655748114,-0.9996573249755573
KURAMOTO,-1.5882496193148399,-0.9998476951563913
KURAMOTO,-1.579522973054868,-0.9999619230641713
KURAMOTO,-1.5707963267948966,-1.0
KURAMOTO,-1.5620696805349248,-0.9999619230641713
KURAMOTO,-1.5533430342749532,-0.9998476951563913
KURAMOTO,-1.5446163880149817,-0.9996573249755573
KURAMOTO,-1.53588974175501,-0.9993908270190958
KURAMOTO,-1.5271630954950384,-0.9990482215818578
KURAMOTO,-1.5184364492350666,-0.9986295347545738
KURAMOTO,-1.509709802975095,-0.9981347984218669
KURAMOTO,-1.5009831567151233,-0.9975640502598242
KURAMOTO,-1.4922565104551517,-0.996917333733128
KURAMOTO,-1.48352986419518,-0.9961946980917455
KURAMOTO,-1.4748032179352084,-0.9953961983671787
KURAMOTO,-1.4660765716752366,-0.9945218953682733
KURAMOTO,-1.457349925415265,-0.9935718556765875
KURAMOTO,-1.4486232791552935,-0.992546151641322
KURAMOTO,-1.4398966328953218,-0.9914448613738104
KURAMOTO,-1.4311699866353502,-0.9902680687415704
KURAMOTO,-1.4224433403753785,-0.9890158633619168
KURAMOTO,-1.413716694115407,-0.9876883405951378
KURAMOTO,-1.4049900478554351,-0.9862856015372313
KURAMOTO,-1.3962634015954636,-0.984807753012208
